nom_pat,prenom_pat,date_naissance,sexe,telephone
Fall,Khady,1957-12-05,f,763275456
Sow,Fatou,1977-10-22,f,707868109
Gueye,Ibrahima,2017-11-05,m,767598841
Kane,Aminata,1944-06-28,f,703720619
Fall,Khady,1998-05-21,f,764891047
Sarr,Aminata,2013-05-10,f,777303572
Faye,Ousmane,2016-02-03,m,774103793
Kane,Ibrahima,1969-06-21,m,701885403
Faye,Khady,1961-01-20,f,707249634
Gueye,Oumar,1969-02-16,m,768356387
Sarr,Mamadou,1972-09-27,m,783507256
Sow,Awa,1942-10-21,f,764540178
Kane,Aminata,1955-08-05,f,775177236
Gueye,Khady,2009-03-16,f,788918187
Sarr,Oumar,1991-03-11,m,704669915
Ba,Ibrahima,1963-07-31,m,785889366
Kane,Awa,1968-03-31,f,788886091
Sy,Ousmane,1977-01-24,m,709889784
Sy,Khady,1941-04-11,f,765341092
Fall,Cheikh,1981-12-11,m,706610585
Sow,Moussa,2021-03-02,m,702050519
Sy,Ibrahima,1977-10-02,m,770916955
Diallo,Khady,2023-05-12,f,706108576
Diallo,Abdoulaye,1974-01-10,m,778889000
Gueye,Fatou,1983-05-27,f,767645012
Kane,Ousmane,1995-03-03,m,705088800
Kane,Awa,1950-05-09,f,779155402
Faye,Fatou,1989-08-30,f,770197540
Sy,Aminata,1972-10-05,f,761911842
Sow,Moussa,1968-08-23,m,708721142
Kane,Moussa,2019-05-10,m,784435912
Faye,Awa,2011-07-06,f,706106161
Gueye,Fatou,1983-06-14,f,786305036
Fall,Khady,1979-11-19,f,769022718
Sow,Awa,1963-08-10,f,778429836
Kane,Ousmane,1960-08-20,m,767507986
Sow,Ibrahima,1984-06-11,m,774829444
Sy,Aminata,1955-08-29,f,768743193
Ndiaye,Aminata,2022-03-13,f,770295604
Gueye,Aminata,1972-08-14,f,769283224
Ba,Cheikh,2008-06-21,m,770340609
Faye,Oumar,2017-12-30,m,783372632
Ba,Cheikh,2010-09-01,m,783849492
Faye,Ousmane,2014-07-31,m,761010245
Ba,Fatou,2014-08-14,f,773247578
Diop,Cheikh,1986-01-17,m,786356306
Ndiaye,Fatou,1957-05-28,f,768824174
Fall,Abdoulaye,1961-12-31,m,701155298
Ba,Mamadou,2023-08-17,m,706329462
Diop,Ibrahima,2013-03-23,m,768614336
Gueye,Fatou,1990-09-09,f,761777964
Sarr,Oumar,2015-12-10,m,762242706
Ndiaye,Mamadou,2017-02-21,m,785937506
Diop,Fatou,1989-09-14,f,789974627
Faye,Aminata,2003-04-12,f,777168036
Diallo,Mariama,1953-08-28,f,706663622
Fall,Fatou,2017-11-08,f,779540625
Fall,Ibrahima,2004-03-31,m,702255805
Faye,Awa,1961-09-18,f,702364786
Diop,Moussa,1967-10-29,m,773554192
Ndiaye,Aminata,2018-09-05,f,762158766
Gueye,Mamadou,1970-09-28,m,767861185
Diallo,Cheikh,1972-10-01,m,765588877
Faye,Cheikh,2007-04-20,m,789287170
Sow,Aminata,2002-04-05,f,783010893
Kane,Ousmane,2012-03-12,m,766176619
Ba,Abdoulaye,1987-01-08,m,709682251
Ndiaye,Khady,2022-12-23,f,773125657
Fall,Moussa,1987-05-19,m,784235174
Fall,Aminata,1940-08-28,f,706965320
Diallo,Ibrahima,1945-01-02,m,777657927
Sarr,Mariama,1980-07-11,f,708922197
Sy,Mariama,1947-04-03,f,781032795
Ndiaye,Mamadou,1965-08-16,m,783686606
Faye,Oumar,2001-02-26,m,767645105
Ba,Ibrahima,2013-01-21,m,772061209
Diallo,Ibrahima,1959-09-06,m,700895687
Diallo,Oumar,2021-03-18,m,700001830
Kane,Mamadou,1959-11-16,m,703453044
Fall,Aminata,1999-06-05,f,705018757
Fall,Mariama,2023-05-12,f,782277288
Diallo,Abdoulaye,1985-08-19,m,766527280
Gueye,Khady,1998-05-26,f,783549740
Fall,Mamadou,2017-01-16,m,764579341
Gueye,Ousmane,1956-10-19,m,760659391
Kane,Aminata,1992-03-20,f,704060773
Sy,Oumar,2015-11-22,m,772712725
Sy,Khady,1984-04-12,f,771974049
Faye,Ousmane,2002-05-07,m,788359281
Kane,Oumar,1971-01-03,m,702498237
Sarr,Ibrahima,1971-01-28,m,705094694
Sy,Abdoulaye,2003-08-18,m,707158861
Diallo,Abdoulaye,1950-06-08,m,764364617
Faye,Mamadou,1991-07-26,m,773327214
Ndiaye,Ousmane,1948-07-28,m,779540842
Sow,Ibrahima,2000-11-10,m,779561879
Sy,Ousmane,2015-12-18,m,701548877
Gueye,Mariama,2023-03-19,f,775088109
Kane,Fatou,2013-04-05,f,787704388
Diop,Aminata,1978-09-26,f,769870615
Sow,Khady,1996-08-08,f,760415705
Diallo,Ibrahima,1975-05-02,m,766016799
Sarr,Fatou,2003-02-06,f,789323660
Kane,Awa,1949-03-01,f,780566800
Diop,Awa,1997-08-31,f,775549508
Diallo,Oumar,2002-12-12,m,760923158
Gueye,Mariama,1982-12-07,f,775993343
Ba,Oumar,2000-03-02,m,774922277
Sow,Moussa,2012-10-21,m,786277895
Gueye,Cheikh,1956-04-10,m,700803772
Sarr,Khady,1945-10-28,f,702017343
Faye,Mamadou,2021-10-16,m,761634048
Sarr,Ibrahima,2003-02-24,m,778669221
Ba,Mariama,1997-01-16,f,783722782
Sarr,Mariama,1959-06-04,f,702810410
Diop,Abdoulaye,1995-01-10,m,762901068
Ndiaye,Cheikh,1974-01-06,m,773792098
Sy,Aminata,1960-08-15,f,771548784
Faye,Awa,1974-08-16,f,703543075
Ba,Mamadou,2023-06-23,m,785868045
Faye,Fatou,1973-09-17,f,781100391
Kane,Abdoulaye,1978-01-19,m,777327381
Diop,Ousmane,1950-05-14,m,706356572
Diop,Cheikh,2013-02-27,m,786369016
Gueye,Khady,2017-08-06,f,760138140
Faye,Moussa,1991-10-29,m,709063177
Gueye,Mamadou,2019-06-18,m,706846682
Sy,Awa,1958-11-17,f,708769263
Diallo,Ousmane,2008-03-09,m,776245773
Ndiaye,Fatou,1980-12-28,f,782407657
Sy,Ibrahima,2017-11-25,m,770114139
Ba,Aminata,1992-09-12,f,778920347
Sy,Ibrahima,1979-01-31,m,768484976
Sow,Ousmane,2013-04-09,m,704528497
Sow,Ousmane,1951-10-05,m,783553663
Sy,Mariama,1950-05-02,f,762516586
Ndiaye,Cheikh,2019-04-18,m,785415370
Sy,Fatou,1942-10-28,f,764859577
Sow,Aminata,1999-03-17,f,778786573
Faye,Ibrahima,1952-02-09,m,773208070
Faye,Awa,1956-02-20,f,768505055
Ndiaye,Awa,1945-05-29,f,776412277
Ndiaye,Awa,2017-09-30,f,763257616
Ba,Fatou,1947-05-19,f,774048332
Sy,Cheikh,1991-10-25,m,708013947
Gueye,Ibrahima,2006-07-23,m,760804305
Diallo,Mamadou,1959-06-07,m,787100124
Diop,Ousmane,2011-11-03,m,786523908
Ndiaye,Aminata,2018-01-26,f,763724267
Kane,Oumar,1959-03-31,m,762017054
Sow,Aminata,2007-07-14,f,779829794
Sy,Cheikh,1989-05-18,m,783528356
Gueye,Awa,1990-08-01,f,769828109
Kane,Cheikh,2013-10-25,m,775779562
Gueye,Awa,1953-05-18,f,774246712
Gueye,Moussa,1959-04-05,m,780130556
Sy,Mariama,1966-05-19,f,705350512
Diallo,Aminata,1978-05-31,f,768872681
Faye,Mamadou,1942-12-05,m,772921285
Gueye,Cheikh,2023-08-15,m,770294461
Kane,Mariama,1959-08-04,f,774577227
Sow,Cheikh,1945-12-29,m,781529226
Faye,Khady,1957-02-03,f,702457450
Diop,Mamadou,1953-07-04,m,705742070
Faye,Cheikh,1957-12-05,m,705634296
Diop,Aminata,1989-04-09,f,785370907
Sy,Moussa,2018-03-07,m,785451516
Sow,Fatou,2010-08-01,f,765948773
Ba,Moussa,1973-02-22,m,762473822
Ndiaye,Cheikh,1960-01-23,m,705658799
Ba,Moussa,2003-06-13,m,782002176
Ndiaye,Awa,1952-06-22,f,700063367
Sow,Awa,1965-12-17,f,774130688
Diop,Ousmane,1967-06-10,m,772264069
Sarr,Ibrahima,2006-09-21,m,708253027
Fall,Ibrahima,2013-09-05,m,766310361
Kane,Mariama,1957-09-15,f,707036052
Kane,Ousmane,1972-02-20,m,787789157
Sy,Khady,1940-08-22,f,778051569
Kane,Awa,1983-06-24,f,776979939
Ndiaye,Abdoulaye,1940-06-02,m,775326060
Gueye,Cheikh,1968-02-17,m,779275622
Sow,Cheikh,2021-03-15,m,764740229
Faye,Ousmane,1974-07-31,m,764113153
Kane,Cheikh,2009-04-28,m,781452946
Kane,Mamadou,1986-07-28,m,780611617
Kane,Mariama,2009-08-04,f,709454574
Kane,Cheikh,2019-02-14,m,766891654
Gueye,Ousmane,2013-11-20,m,706349093
Kane,Abdoulaye,2023-10-22,m,701832540
Diop,Fatou,1966-02-25,f,783733507
Ba,Abdoulaye,2022-12-26,m,770491320
Fall,Fatou,1977-12-18,f,703488149
Sow,Oumar,1954-09-22,m,765399525
Ba,Oumar,1977-09-01,m,761356145
Faye,Cheikh,1974-07-11,m,761426088
Sy,Cheikh,1995-06-17,m,706917515
Ndiaye,Aminata,1971-03-20,f,779749218
Diallo,Ibrahima,2010-12-31,m,772081206
Sow,Mariama,1956-02-20,f,778814465
Sy,Ibrahima,1957-06-16,m,769477510
Ba,Aminata,2017-08-30,f,769004715
Fall,Awa,1993-03-24,f,709547551
Diallo,Awa,1985-08-25,f,767064359
Sy,Oumar,2015-08-09,m,775580727
Faye,Fatou,1965-04-12,f,764147648
Ndiaye,Ibrahima,1987-10-22,m,780985723
Fall,Fatou,2019-10-12,f,780564234
Faye,Cheikh,2007-10-06,m,709763183
Fall,Ibrahima,1984-05-30,m,786749621
Fall,Moussa,1953-01-10,m,777151295
Ba,Moussa,1995-05-02,m,707210166
Sarr,Ousmane,1970-01-07,m,765376986
Sow,Fatou,2014-01-07,f,760918938
Diop,Mamadou,1960-10-04,m,775031262
Ndiaye,Khady,1990-10-16,f,786017102
Kane,Khady,1988-09-07,f,765072090
Fall,Awa,1993-02-28,f,780541849
Kane,Cheikh,1997-07-20,m,782642570
Sy,Awa,2018-12-22,f,763789413
Sow,Mamadou,1952-08-01,m,769254043
Fall,Awa,1958-12-21,f,766718591
Diop,Mamadou,2017-01-28,m,774433516
Diallo,Abdoulaye,1955-05-05,m,777888929
Faye,Cheikh,1997-08-07,m,774797627
Diop,Oumar,1975-03-06,m,761076742
Faye,Khady,1996-11-29,f,783189286
Sow,Cheikh,1993-03-21,m,764789506
Diallo,Moussa,2023-09-27,m,702864799
Ndiaye,Mariama,1954-03-02,f,771420611
Diop,Khady,1981-08-16,f,770567377
Gueye,Awa,2014-12-09,f,781911634
Kane,Oumar,1984-03-03,m,788736373
Diop,Fatou,2023-04-10,f,770019418
Kane,Ibrahima,1982-09-21,m,764641913
Faye,Ousmane,1945-07-26,m,778623648
Sarr,Mamadou,1963-09-09,m,709640632
Sarr,Abdoulaye,1986-03-05,m,703190414
Diallo,Khady,2002-03-24,f,701278470
Ndiaye,Moussa,1949-01-28,m,762144257
Sarr,Aminata,1942-07-19,f,775049981
Diallo,Oumar,1943-11-01,m,702090889
Sy,Mamadou,1970-05-30,m,761758612
Diallo,Khady,2012-10-14,f,772475875
Ba,Aminata,1961-12-03,f,708325751
Faye,Ibrahima,1973-10-03,m,760494282
Sarr,Moussa,1944-05-10,m,763276686
Diallo,Aminata,1983-08-13,f,765331230
Diallo,Khady,1971-07-23,f,785894146
Ndiaye,Aminata,1945-04-04,f,779096466
Sow,Cheikh,1946-12-04,m,704779281
Ndiaye,Awa,2007-08-01,f,776093468
Sow,Awa,2015-07-06,f,703005149
Ba,Khady,2016-05-28,f,706576985
Faye,Moussa,1941-09-11,m,765194857
Fall,Ibrahima,1983-01-08,m,782182050
Diop,Khady,2018-06-26,f,774672424
Diallo,Mariama,2014-04-29,f,762216209
Ndiaye,Mariama,1961-01-25,f,709581979
Sy,Fatou,1996-11-02,f,707356728
Sy,Mariama,1946-11-08,f,768897346
Faye,Ibrahima,1991-07-08,m,784103776
Sow,Mariama,2000-12-07,f,706809144
Faye,Khady,1973-07-04,f,789958184
Sarr,Moussa,1959-05-29,m,771367559
Ndiaye,Ousmane,1969-04-08,m,700979857
Gueye,Cheikh,2016-02-12,m,782227268
Faye,Khady,1981-10-12,f,773443924
Gueye,Awa,1993-07-26,f,701837845
Kane,Fatou,2012-08-30,f,778277169
Gueye,Khady,2020-06-30,f,765030667
Ndiaye,Ibrahima,1946-03-13,m,773034103
Sow,Awa,1953-02-14,f,701385883
Fall,Khady,1995-09-15,f,778678670
Kane,Khady,2015-07-22,f,768155254
Ba,Aminata,2016-10-04,f,769998785
Gueye,Ibrahima,1956-08-31,m,706839679
Fall,Ousmane,1973-04-18,m,706737489
Sow,Fatou,1950-01-17,f,788900804
Sarr,Mamadou,2003-05-28,m,779544424
Fall,Cheikh,1948-03-07,m,777397827
Ndiaye,Khady,1965-06-06,f,708301868
Kane,Awa,1999-08-13,f,783974864
Ndiaye,Fatou,1992-01-29,f,784802470
Diallo,Oumar,2007-07-05,m,764408609
Ndiaye,Awa,2003-12-26,f,780943492
Sy,Mariama,1980-08-11,f,774332137
Sarr,Awa,1941-03-13,f,768068085
Sy,Aminata,1993-09-05,f,787165090
Fall,Awa,1941-10-21,f,778962252
Sarr,Aminata,1967-07-24,f,706182655
Diop,Aminata,1975-02-04,f,701389186
Diallo,Oumar,2023-04-11,m,780381387
Faye,Aminata,1955-07-18,f,702950510
Sy,Aminata,2012-12-06,f,777329621
Diop,Moussa,1957-01-08,m,706728373
Sy,Oumar,1944-05-03,m,760725581
Ndiaye,Oumar,2018-12-09,m,781194143
Faye,Khady,2012-07-07,f,703866315
Sy,Ousmane,2013-08-31,m,704084936
Sarr,Awa,1976-05-02,f,774048646
Sow,Khady,2021-01-15,f,765103344
Diallo,Aminata,1943-07-01,f,760107163
Ba,Khady,2009-03-09,f,701271401
Gueye,Cheikh,1968-06-04,m,706364020
Kane,Fatou,1955-10-27,f,771312473
Gueye,Oumar,1997-10-19,m,709003783
Ndiaye,Awa,1961-10-20,f,786978810
Ndiaye,Mariama,1971-12-28,f,700739225
Sow,Fatou,1978-09-03,f,701608133
Sow,Ibrahima,1983-01-16,m,766342320
Gueye,Fatou,2018-03-13,f,787183622
Ba,Fatou,2019-08-31,f,787864510
Sow,Fatou,1951-03-05,f,789293296
Kane,Awa,1968-08-11,f,702342398
Kane,Ousmane,2003-01-01,m,701641134
Fall,Ibrahima,2010-11-24,m,703285533
Sy,Awa,2011-04-10,f,707109806
Sow,Khady,2020-03-16,f,777277321
Faye,Cheikh,2020-08-26,m,779466900
Gueye,Awa,2012-12-04,f,771479757
Kane,Khady,1947-07-28,f,777361382
Sow,Cheikh,1990-05-19,m,784139076
Ndiaye,Abdoulaye,1975-01-21,m,776697782
Gueye,Abdoulaye,1948-12-26,m,770642671
Ndiaye,Awa,1994-07-16,f,705579256
Fall,Moussa,1994-12-09,m,706450610
Gueye,Moussa,1954-02-02,m,770960570
Sarr,Moussa,2002-11-18,m,789569735
Sy,Fatou,2015-01-11,f,779163715
Faye,Fatou,2018-07-03,f,773489839
Sy,Awa,1941-09-05,f,775987789
Diallo,Mariama,1997-08-27,f,765819185
Fall,Khady,1973-07-29,f,706592464
Diop,Ousmane,2010-08-11,m,777815244
Gueye,Aminata,1966-02-06,f,702755712
Ba,Awa,1943-11-03,f,770461290
Sow,Moussa,1953-05-05,m,708411530
Diop,Mariama,1987-05-25,f,766736133
Kane,Cheikh,1947-06-21,m,788428337
Diop,Fatou,1976-01-08,f,764185845
Fall,Oumar,1974-03-26,m,781911999
Sarr,Oumar,1942-03-12,m,760388473
Ba,Fatou,1982-03-29,f,777796976
Ndiaye,Awa,1984-03-26,f,781430016
Faye,Mariama,1960-09-17,f,765645308
Ba,Aminata,1944-07-02,f,777907453
Gueye,Moussa,1985-12-26,m,786033814
Diallo,Awa,2023-07-02,f,706570619
Diallo,Awa,1956-10-14,f,777767040
Kane,Khady,2017-10-15,f,768404674
Sy,Oumar,2014-11-08,m,789103877
Sow,Mamadou,1953-09-13,m,760761230
Sy,Khady,1961-01-05,f,706023815
Ndiaye,Khady,2010-12-24,f,781966395
Gueye,Awa,1984-07-21,f,766228646
Sy,Awa,1994-11-29,f,709453592
Kane,Moussa,1989-10-30,m,702936381
Sarr,Abdoulaye,2013-09-04,m,778655658
Diallo,Abdoulaye,1995-11-18,m,768606299
Gueye,Fatou,1957-11-03,f,780149700
Kane,Aminata,1994-08-26,f,781020950
Diallo,Cheikh,1989-09-13,m,709356930
Ba,Ibrahima,2009-01-22,m,773026126
Ba,Fatou,1957-06-16,f,774399687
Sow,Aminata,1946-12-09,f,784508045
Kane,Aminata,1976-06-01,f,773596898
Ndiaye,Ibrahima,1940-11-15,m,767440433
Sow,Ibrahima,1988-12-16,m,708085602
Sy,Abdoulaye,1951-12-03,m,778900227
Sow,Abdoulaye,1994-05-21,m,785108684
Kane,Oumar,1974-09-13,m,783328192
Diallo,Fatou,1983-08-01,f,709025215
Sy,Abdoulaye,2003-04-13,m,768369668
Sy,Aminata,1980-05-20,f,761102108
Gueye,Mamadou,1966-10-04,m,709209160
Diallo,Mamadou,2005-07-26,m,783393720
Diallo,Abdoulaye,1978-11-02,m,775583525
Sy,Mariama,1990-08-15,f,705549794
Diallo,Mamadou,1965-11-14,m,761067958
Gueye,Mariama,2011-04-01,f,762577917
Fall,Mariama,1958-12-15,f,784178846
Faye,Moussa,2021-01-04,m,766290493
Sarr,Oumar,1991-10-05,m,762140662
Kane,Khady,1955-02-20,f,776250428
Kane,Ousmane,1946-12-29,m,766811173
Diop,Mariama,1997-03-12,f,769356610
Kane,Awa,1987-07-02,f,770120479
Ba,Moussa,1979-03-02,m,780042506
Ndiaye,Abdoulaye,1970-08-17,m,764587088
Diallo,Fatou,2021-01-03,f,765136085
Faye,Fatou,1956-06-07,f,701446097
Diallo,Awa,1962-12-28,f,760903548
Sy,Aminata,2009-08-11,f,703015014
Faye,Moussa,1976-02-27,m,765774946
Kane,Mariama,1953-10-25,f,768944068
Fall,Mariama,1942-07-23,f,765744703
Sow,Mamadou,1969-10-31,m,761943343
Diallo,Khady,2017-07-02,f,777248464
Sy,Khady,1983-02-11,f,776448098
Diop,Awa,1983-08-12,f,705211516
Kane,Moussa,1985-10-06,m,783642665
Fall,Cheikh,1947-06-29,m,787292430
Faye,Moussa,2010-01-05,m,776089423
Sow,Cheikh,1998-09-07,m,768716197
Sarr,Fatou,1940-04-29,f,787419130
Faye,Awa,2019-09-16,f,775107870
Ba,Aminata,1947-11-16,f,782466147
Diop,Cheikh,2006-04-20,m,768624896
Sow,Aminata,1963-02-20,f,778800538
Faye,Fatou,2019-10-19,f,762677560
Kane,Abdoulaye,1987-11-23,m,779180710
Sy,Moussa,1972-01-19,m,769254905
Gueye,Abdoulaye,2001-08-03,m,771911581
Faye,Awa,1945-09-24,f,769811736
Ba,Mamadou,1979-01-31,m,703543244
Sarr,Mariama,1972-09-14,f,700110362
Diop,Fatou,1974-05-19,f,786847068
Faye,Moussa,1984-11-10,m,784111513
Sy,Ibrahima,1995-12-15,m,762368325
Fall,Khady,1983-11-06,f,788552647
Kane,Mariama,1976-09-12,f,766320315
Sow,Fatou,2015-10-20,f,768582614
Ba,Oumar,1960-04-18,m,761100858
Fall,Mariama,1987-07-16,f,700080831
Ba,Mamadou,1957-02-13,m,787285893
Sarr,Fatou,1945-06-24,f,772466691
Diallo,Cheikh,1945-12-23,m,764980865
Sow,Moussa,2014-07-17,m,777340087
Sy,Aminata,1987-12-26,f,785413618
Ndiaye,Awa,1971-11-30,f,700965586
Faye,Oumar,1963-01-15,m,705836104
Kane,Mariama,1961-12-02,f,787809969
Sy,Ousmane,1959-01-18,m,779671769
Sy,Mariama,2019-11-19,f,704354177
Diop,Cheikh,1948-08-04,m,788143803
Ba,Aminata,1940-05-20,f,783567737
Sow,Mariama,1976-07-26,f,709360224
Sy,Oumar,1981-09-11,m,768774894
Kane,Aminata,2008-11-18,f,760821107
Diallo,Moussa,1999-04-14,m,783426787
Diop,Aminata,1984-08-14,f,770186003
Ba,Awa,1960-07-14,f,768415857
Gueye,Awa,1965-03-30,f,770093365
Ba,Ousmane,1978-02-15,m,771650570
Kane,Khady,2014-05-04,f,774377611
Diallo,Cheikh,1946-09-11,m,704979228
Kane,Aminata,2005-07-26,f,774820616
Diop,Ibrahima,1941-08-25,m,786079732
Diop,Abdoulaye,1989-03-30,m,705324363
Ba,Aminata,1968-04-20,f,784311272
Ndiaye,Awa,2016-05-07,f,775038317
Gueye,Cheikh,1984-07-22,m,709936338
Faye,Mariama,1983-03-05,f,701453726
Sow,Awa,2008-11-03,f,781939887
Gueye,Abdoulaye,1948-02-25,m,777490291
Sarr,Abdoulaye,1952-10-11,m,786637786
Sarr,Ibrahima,1989-05-14,m,775155747
Sow,Aminata,2019-01-01,f,706173398
Faye,Fatou,1990-01-09,f,760779433
Diallo,Aminata,1977-06-22,f,709736855
Diallo,Awa,2016-07-31,f,771135506
Diallo,Ousmane,1976-11-15,m,779488170
Diop,Mariama,2000-07-13,f,781428585
Kane,Fatou,1998-11-18,f,772752163
Ba,Aminata,2018-06-12,f,781251155
Sy,Aminata,1954-04-13,f,707859598
Sow,Moussa,1994-10-08,m,777244314
Gueye,Khady,2004-04-03,f,705106299
Ba,Mariama,2014-12-16,f,763045572
Ba,Abdoulaye,1945-10-15,m,777718978
Ba,Cheikh,1985-01-03,m,702195723
Diop,Mamadou,2007-12-03,m,763842117
Sy,Mamadou,1970-03-13,m,786884180
Faye,Khady,1975-05-04,f,787565942
Fall,Ousmane,1967-01-18,m,769112447
Fall,Mamadou,1976-02-06,m,787608152
Faye,Khady,2022-02-26,f,789652264
Diallo,Ousmane,1967-12-10,m,766012798
Ndiaye,Moussa,1990-04-12,m,777142904
Sow,Ousmane,1965-10-03,m,701029828
Diop,Ibrahima,2006-02-10,m,779994726
Kane,Aminata,1947-08-31,f,704313942
Diop,Aminata,1948-11-13,f,704804824
Diop,Cheikh,1973-10-25,m,773349158
Ndiaye,Khady,2014-03-20,f,786270260
Sy,Abdoulaye,2011-11-02,m,703475205
Ba,Mamadou,1940-05-27,m,773080503
Gueye,Cheikh,1956-06-06,m,779239554
Fall,Khady,2013-10-29,f,770498652
Gueye,Ousmane,1980-05-02,m,786954051
Sow,Awa,2004-11-27,f,778473096
Kane,Awa,1991-04-23,f,768747218
Faye,Fatou,2000-08-22,f,705779505
Gueye,Ousmane,2022-03-02,m,776618507
Gueye,Moussa,1943-09-06,m,706941250
Ndiaye,Moussa,2014-01-18,m,760562641
Diallo,Aminata,1993-09-02,f,770411573
Diop,Abdoulaye,2004-06-21,m,781495047
Diallo,Mariama,1989-02-11,f,707314012
Gueye,Mariama,1974-11-10,f,788682656
Diop,Aminata,1960-06-08,f,777439713
Sow,Abdoulaye,1975-02-14,m,763741021
Kane,Cheikh,1997-09-08,m,776663822
Sarr,Ibrahima,1966-07-01,m,783706881
Kane,Mariama,1990-01-12,f,761963780
Kane,Awa,1995-08-28,f,760702627
Kane,Moussa,2008-08-08,m,709404559
Diallo,Moussa,1992-06-14,m,786817483
Gueye,Mariama,1989-02-09,f,766457266
Diop,Oumar,1988-02-01,m,773417206
Ndiaye,Khady,1991-03-27,f,778527256
Ndiaye,Fatou,2021-07-17,f,707925689
Gueye,Oumar,2020-05-04,m,768895748
Sow,Oumar,2019-12-09,m,773920372
Sow,Moussa,1973-08-17,m,773564128
Sy,Awa,2010-06-25,f,777377576
Ndiaye,Khady,1943-07-09,f,782221639
Fall,Ibrahima,2005-08-13,m,701878765
Sow,Fatou,2019-09-03,f,778669871
Ba,Awa,1954-02-11,f,779034414
Ndiaye,Mariama,1964-06-04,f,772682800
Ndiaye,Ibrahima,1952-03-25,m,707352949
Sow,Moussa,1947-04-28,m,763252056
Fall,Mariama,1958-08-30,f,701133969
Diop,Khady,1950-10-13,f,761184210
Ba,Ousmane,2019-02-12,m,700681204
Ndiaye,Abdoulaye,2007-06-07,m,767094333
Sarr,Fatou,1967-09-06,f,789218796
Diop,Ibrahima,1955-05-20,m,761858647
Ndiaye,Khady,1985-04-09,f,709280245
Sarr,Mariama,1941-05-02,f,789661269
Kane,Mamadou,1982-01-13,m,703662932
Faye,Cheikh,1954-08-20,m,707761771
Diallo,Mariama,2022-10-31,f,787505454
Gueye,Cheikh,1959-06-20,m,769087226
Fall,Khady,2012-06-16,f,766952635
Sy,Awa,2002-07-08,f,778321089
Ba,Ibrahima,1967-05-18,m,708252290
Ba,Khady,1973-05-04,f,708575429
Fall,Moussa,1962-01-12,m,779468627
Sarr,Ousmane,1940-09-14,m,701992137
Faye,Mariama,1976-02-02,f,786030876
Diop,Awa,1968-08-20,f,700694813
Kane,Fatou,1967-03-26,f,704977306
Fall,Ousmane,1942-06-29,m,775372429
Diallo,Awa,1954-06-16,f,765654659
Sow,Cheikh,1959-04-28,m,769026933
Sy,Fatou,1942-11-05,f,772153087
Sow,Aminata,1975-03-25,f,703820512
Diallo,Mariama,2003-04-25,f,705371951
Gueye,Aminata,1982-11-14,f,774569919
Fall,Mamadou,1983-10-24,m,770111841
Sarr,Cheikh,1962-03-09,m,785594157
Sarr,Awa,1978-03-31,f,775124695
Sarr,Khady,1948-10-27,f,766864389
Diallo,Mamadou,1965-01-28,m,762029790
Diop,Mariama,2022-08-24,f,703584932
Ba,Cheikh,1961-09-09,m,780300858
Faye,Aminata,1983-05-30,f,780784145
Ndiaye,Fatou,1966-07-25,f,768816785
Faye,Moussa,2012-08-22,m,769163612
Sow,Moussa,1955-09-13,m,780510187
Ndiaye,Abdoulaye,2021-08-17,m,761120846
Ba,Mamadou,1951-01-30,m,766555544
Diop,Moussa,2003-11-06,m,768804881
Fall,Cheikh,1959-06-10,m,705480319
Ndiaye,Awa,1963-07-14,f,772786648
Diallo,Awa,2023-11-29,f,785059955
Fall,Awa,1998-04-12,f,767336452
Sarr,Ousmane,2022-10-26,m,763821097
Fall,Awa,2009-01-22,f,780645639
Faye,Khady,1987-04-30,f,768385149
Ba,Fatou,1946-08-31,f,777540964
Faye,Ibrahima,1977-06-29,m,780476076
Sy,Ousmane,1951-01-19,m,707497687
Ba,Fatou,1991-03-04,f,780911978
Diallo,Oumar,1999-03-01,m,701922087
Sow,Ibrahima,1990-12-08,m,782564210
Fall,Ibrahima,1940-02-28,m,700661190
Diallo,Abdoulaye,1967-12-09,m,783368381
Sow,Khady,2000-05-16,f,760013038
Sarr,Oumar,1944-06-11,m,775583066
Ba,Ousmane,2014-09-05,m,771538624
Diallo,Khady,1985-01-19,f,762014027
Diop,Ibrahima,1969-04-26,m,783960130
Sarr,Mariama,1971-12-11,f,779277091
Ba,Mamadou,1961-03-21,m,760660082
Diop,Mariama,2016-10-14,f,708907765
Ba,Mariama,1980-07-05,f,786511158
Ndiaye,Cheikh,2022-05-20,m,709600561
Diallo,Ousmane,1953-01-14,m,775414798
Kane,Mamadou,2015-06-13,m,708586311
Gueye,Oumar,1972-12-27,m,772454699
Diop,Mariama,1972-08-12,f,780663415
Gueye,Fatou,1960-09-22,f,706150236
Ndiaye,Ibrahima,1981-09-19,m,786322681
Kane,Ibrahima,1977-05-01,m,700319548
Ba,Awa,2018-10-21,f,776659641
Fall,Ousmane,2019-12-14,m,780921650
Diallo,Abdoulaye,2018-06-09,m,789421219
Faye,Ibrahima,1998-08-22,m,784387002
Ndiaye,Oumar,1984-08-12,m,705384766
Fall,Mariama,1977-08-24,f,777059105
Diallo,Awa,2020-02-27,f,763442616
Ndiaye,Mariama,1982-01-10,f,762914809
Gueye,Mariama,1974-09-14,f,778008181
Sarr,Aminata,1943-11-09,f,705777512
Diop,Ousmane,2006-09-26,m,702712927
Ndiaye,Aminata,2022-04-04,f,779760600
